"","Ctrl_1.CEL","Ctrl_2.CEL","Ctrl_3.CEL","Dom_1.CEL","Dom_2.CEL","Dom_3.CEL","N_D_3.CEL","N_D_4.CEL","N_D_5.CEL","NEN_2.CEL","NEN_3.CEL","NEN_5.CEL"
"HTA2-pos-3676056_st",11.8470472212919,11.666563893605,11.6652577843859,11.7360562091956,11.633751675934,11.8267119789692,11.4168410307905,11.5597749683208,11.4882999832565,11.5742777282582,11.5287385400778,11.5783722711229
"HTA2-pos-3676060_st",10.3279708407264,10.2540642120931,10.1835275480568,10.2813702694983,10.1264104189675,10.1488565104314,10.0853169655555,9.90816615957133,9.98035512480419,10.0660756937501,9.97107983100256,10.0596937731468
"HTA2-pos-3676062_st",9.85721969784152,9.79863193398906,9.65695355594713,9.7851890724246,9.88250576453564,9.96012224990531,9.82731673243329,9.94100519105648,9.77529806246633,9.290401246481,9.71406657842524,9.83458748572574
"HTA2-pos-3686554_st",9.92826251004761,10.0115147271083,10.078042587223,10.0595960390782,10.1893154493903,10.1293717223133,9.5813337584662,9.83038500301014,9.56096823802058,9.81943512334481,9.83654315929871,9.67603478041885
"HTA2-pos-3686556_st",9.34805178467297,8.80960566098437,9.00245810968488,8.78198175671936,8.9435163098581,9.10131389345904,8.81015823887081,8.50563872897675,8.53282142925972,8.63802865837981,8.36927317637316,8.78999163027473
"HTA2-pos-3686564_st",10.4815042468255,3.73602065016942,10.5303241781173,10.7106980633002,10.5034936175152,10.4267879610048,10.2291181499752,10.5437559924898,10.0805943023426,10.4028334790999,10.3111796485715,10.0274440610973
"HTA2-pos-3686566_st",5.53395083603843,5.08211110753183,6.33388480563108,6.48916465672137,5.12235973949995,6.13098115285657,3.9795604067667,6.45394182970608,5.65341670684207,5.2447263416025,5.8641640829009,5.8641640829009
"HTA2-pos-3686568_st",7.63419955116623,7.83235697853908,8.55602357834054,7.85382379671395,8.27883246534474,7.74538822746797,7.53202423351884,7.78680832434175,7.87292585451853,8.12368572753414,8.04529975961359,7.54173507539369
"HTA2-pos-3686570_st",8.05850354080041,8.26411808299953,7.77446225877958,8.22570831075351,8.29400908587511,8.12726952886636,7.57978443089278,8.00801487174851,7.72629172898667,7.79154645368506,7.71342998238023,7.81372283616179
"HTA2-pos-3686572_st",10.3870290696992,10.2669318676225,10.0697841992747,10.3531458430151,10.3274580809246,10.3409617734362,10.1937295852312,9.86611841630021,9.8631524248516,9.99529480771148,9.84247990132118,10.219268298471
"HTA2-pos-3686574_st",11.5629733125438,11.5135242484004,11.4914413451848,11.5685150623665,11.5210289975627,11.5500615262244,11.2388939108057,11.2350520620144,11.0397154166696,11.4074535521807,11.3526347237255,11.3046651347692
"HTA2-pos-3686576_st",11.047361031514,10.9317054801305,11.025685181766,10.8679023871251,11.0239323722235,11.0571758762516,10.5522860499158,10.6981897230904,10.8069635414069,10.5621131700863,10.7101614675036,10.7683963480882
